;17 -  Tuncay Şanlı;15 - Gelson Fernandes;9 - Alexander Frei;21 - Tomáš Ujfaluši;7 - Libor Sionko;22 -  Hamit Altıntop;4 - Tomáš Galásek;1 -  Ricardo;19 - Valon Behrami;10 - Václav Svěrkoš;11 - Stanislav Vlček;10 -  Hakan Yakin;4 -  Bosingwa;1 - Diego Benaglio;7 -  Cristiano Ronaldo;6 -  Raul Meireles;3 - Ludovic Magnin;2 - Paulo Ferreira;3 -  Hakan Balta;20 -  Deco;2 - Zdeněk Grygera;15 -  Emre Aşık;1 - Petr  Čech;20 - Jaroslav Plašil;4 -  Gökhan Zan;16 - Ricardo Carvalho;4 - Philippe Senderos;21 -  Nuno Gomes;20 - Patrick Müller;11 - Marco Streller;6 - Marek Jankulovski;2 -  Servet Çetin;8 - Gökhan Inler;5 - Radoslav Kováč;21 -  Mevlüt Erdinç;20 -  Sabri Sarıoğlu;5 -  Emre Belözoğlu;22 - Johan Vonlanthen;7 -  Mehmet Aurélio;8 -  Petit;15 -  Pepe;16 - Tranquillo Barnetta;18 -  Kazım Kazım;9 - Jan Koller;19 -  Nani;22 - David Rozehnal;3 - Jan Polák;14 - David Jarolím;11 -  Simão;8 -  Nihat Kahveci;12 - Eren Derdiyok;10 -  João Moutinho;5 - Stephan Lichtsteiner;23 -  Volkan Demirel
17 -  Tuncay Şanlı;;;;;;2;;;;;;;;;2;;;;8;3;;1;;;1;;;1;;;;4;;;2;1;6;;9;;;;;;;;;;;3;;;;
15 - Gelson Fernandes;;;1;;1;;;;1;;;4;;;;;2;;;;;;;2;;;;;7;;3;;8;;;;;;;;;5;;;;;;3;;;;;9;
9 - Alexander Frei;;3;;;;;;;2;;;;;1;;;3;;;;2;;;;;;1;;1;1;;;;;;;;;;;;2;;;;;1;;;;;;1;
21 - Tomáš Ujfaluši;;1;;;;;2;;;;;1;;3;;;2;;;;1;;1;;;;1;;;4;1;;;;;;;;;;;1;;1;;12;3;1;;;;;;
7 - Libor Sionko;;;;3;;;3;;;1;;;;;;;2;;;;11;;;2;;;;;1;;1;;2;;;;;;;;;;;4;;;4;3;;;;;;
22 -  Hamit Altıntop;3;;;;;;;1;;;;;;;;;;;;2;;;;;2;1;;1;;;;1;;;2;;;;3;;;;2;;;;;;;1;;;;1
4 - Tomáš Galásek;;;;3;3;;;;2;;;;;1;;;1;;;;4;;;;;;;;;;3;;3;;;;;;;;;2;;1;;2;4;3;;;;;2;
1 -  Ricardo;;;;;;2;;;;;;;;;;;;1;;1;;;;;;2;;;;;;;;;2;1;1;;;;;;;;;;;;;3;;;;
19 - Valon Behrami;;3;2;;;;;;;;;;;2;;;2;;;;;;;;;;1;;5;1;1;;4;;;;;1;;;;1;;3;;1;1;;;;;;6;
10 - Václav Svěrkoš;;2;;1;;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;;;;;;;;;;;1;3;1;;;1;;;
11 - Stanislav Vlček;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
10 -  Hakan Yakin;;4;;;;;;;;;;;;1;;;3;;;;1;;;;;;1;;1;;;;2;;;;;;;;;1;;;;;;;;;;;;
4 -  Bosingwa;1;;;;;;;3;;;;;;;1;;;1;;3;;;;;;4;;;;;;4;;;2;;1;;1;1;11;;1;;3;;;;1;4;;2;;
1 - Diego Benaglio;;;;1;2;;;;;;;;;;;;2;;;;1;;;;;;4;;2;1;1;;;;;;;;;;;;;;;3;1;;;;;;2;
7 -  Cristiano Ronaldo;;;;;;;;3;;;;;5;;;;;1;;3;;1;;;;2;;4;;;;2;;;;;2;;;4;5;;;;1;;;;1;;;4;;
6 -  Raul Meireles;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;
3 - Ludovic Magnin;;5;3;;2;;2;;;;1;2;;3;;;;;;;3;;;;;;15;;1;;1;;5;;;;;;;;;8;;;;;1;1;;;;;;
2 - Paulo Ferreira;;;;;;;;1;;;;;1;;1;;;;;4;;;;;1;6;;;;;;;;;;;;;3;3;2;;3;;;;;;7;;;2;;
3 -  Hakan Balta;1;;;;;;;2;;;;;1;;;;;;;3;;;;;3;1;;1;;;;3;;;;;6;;4;;;;;;;;;;;;;;;
20 -  Deco;;;;;;;;3;;;;;5;;6;1;;10;1;;;;;;;3;;2;;;;;;;;1;;;;5;3;;1;;;;;;5;;;6;;
2 - Zdeněk Grygera;;;;7;6;;2;;1;1;1;;;;;;5;;;;;;;2;;;;;;;1;;;;;;;;;;;2;;2;;3;4;5;;;;;2;
15 -  Emre Aşık;2;;;;;;;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;1;;;;
1 - Petr  Čech;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;
20 - Jaroslav Plašil;;;;;2;;3;;;1;;;;1;;;1;;;;2;;1;;;;;;;;5;;1;;;;;;;;;1;;2;;5;3;2;;;;;1;
4 -  Gökhan Zan;2;;;;;4;;;;;;;1;;1;;;;1;;;;;;;;;;;;;1;;;;;3;;3;;;;2;;;;;;1;;;;;1
16 - Ricardo Carvalho;;;;;;1;;;;;;;2;;;;;12;;2;;;;;1;;;;;;;2;;;;1;1;;;4;5;;;;;;;;;2;;4;;1
4 - Philippe Senderos;;7;;1;1;;1;;;1;;;;2;;;9;;;;;;1;;;;;;15;1;2;;4;;;;;;;;;7;;3;;;3;;;;1;;2;
21 -  Nuno Gomes;;;;;;;;;;;;;1;;4;;;1;;1;;;;;1;1;;;;;;;;;;;;;;1;1;;;;;;;;1;;;1;;
20 - Patrick Müller;;4;;;;;;;4;;;1;;3;;;4;;;;1;;;2;;;17;;;;;;5;;;;;;;;;;;2;;1;1;1;;;;;8;
11 - Marco Streller;;1;2;;;;;;;;;1;;1;;;2;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;2;
6 - Marek Jankulovski;;;;;1;;5;;5;1;;1;;;;;;;;;2;;3;3;;;;;2;;;;;;;;;2;;;;;;2;;10;4;5;;;;;2;
2 -  Servet Çetin;2;;;;;;;1;;;;;2;;1;;;;3;1;;1;;;4;;;1;;;;;;;;;4;;5;;1;;1;;1;;;;;1;;;;
8 - Gökhan Inler;;2;2;1;1;;;;5;;;;;;;;6;;;;;;;2;;;4;;11;2;;;;;;;;2;;;;2;;;;;;2;;;;;6;
5 - Radoslav Kováč;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
21 -  Mevlüt Erdinç;3;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;1;;;;;;;;;;;2;;;;;;;2;;;;
20 -  Sabri Sarıoğlu;2;;;;;;;;;;;;2;;;;;;1;;;;;;1;;;;;;;3;;;;;3;;2;;;;4;;;;;;;1;;;;
5 -  Emre Belözoğlu;12;;;;;;;;;;;;1;;1;;;;8;2;;1;;;1;;;;;;;7;;;1;1;;;3;;;;2;;;;;;;2;;;;
22 - Johan Vonlanthen;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
7 -  Mehmet Aurélio;3;;;;;4;;1;;;;;1;;1;;;;3;1;;5;;;1;1;;1;;;;1;;;;3;4;;;;2;;5;;;;;;;;;;;3
8 -  Petit;1;;;;;1;;1;;;;;3;;2;;;1;;7;;;;;;3;;;;;;;;;;3;1;;;;4;;1;;;;;;1;;;6;;1
15 -  Pepe;1;;;;;1;;3;;;;;9;;4;;;2;2;3;;;;;;6;;1;;;;;;;;;1;;1;4;;;;;1;;;;2;;;1;;3
16 - Tranquillo Barnetta;;4;;1;;;1;;;;;3;;3;;;13;;;;;;;;;;5;;2;;;;8;;;;;;;;;;;1;;;1;2;;;;;1;
18 -  Kazım Kazım;4;;;;;3;;;;;;;1;;;;;1;1;1;;;;;;1;;;;;;2;;;1;4;2;;2;1;1;;;;;;;;1;4;;;;1
9 - Jan Koller;;;;2;3;;;;;;;;;;;;1;;;;4;;2;3;;;;;;;8;;;;;;;;;;;;;;;1;1;;;;;;;
19 -  Nani;2;;;;;;;;;;;;1;;1;;;;;1;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;
22 - David Rozehnal;;1;1;9;;;4;;2;;;1;;1;;;1;;;;;;5;1;;;2;;1;;10;;1;;;;;;;;;1;;;;;1;3;;;;;1;
3 - Jan Polák;;1;;4;5;;1;;;;;;;;;;1;;;;5;;;6;;;;;;;4;;;;;;;;;;;1;;2;;6;;4;;;;;1;
14 - David Jarolím;;;1;2;3;;4;;1;;1;;;;;;;;;;7;;;;;;;;;1;4;;;;;;;;;;;1;;2;;4;3;;;;;;;
11 -  Simão;;;;;;;;;;;;;2;;;;;4;;5;;;;;;;;;;;;;;;;1;;;;3;1;;;;;;;;;;;5;;1
8 -  Nihat Kahveci;2;;;;;1;;;;;;;;;;;;;1;2;;1;;;;;;;;;;1;;;3;;3;;3;;1;;3;;;;;;;;;;;1
12 - Eren Derdiyok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
10 -  João Moutinho;;;;;;1;;;;;;;2;;3;;;4;1;3;;;;;1;5;;;;;;1;;;;1;;;;6;5;;1;;;;;;3;2;;;;
5 - Stephan Lichtsteiner;;6;1;;1;;1;;3;1;;1;;1;;;;;;;;;1;1;;;3;;8;1;2;;6;;;;;;;;;3;;;;1;2;;;;;;;
23 -  Volkan Demirel;1;;;;;1;;3;;;;;;;1;;;;;1;;;;;1;;;1;;;;;;;;;1;;;1;;;1;;1;;;;;;;1;;
